ticker,signal_date,entry_date,exit_date,position,pred_prob,raw_return,net_return
AAPL,2017-03-20,2017-03-21,2017-03-22,-1,0.44660624209866817,-0.015903083373330795,0.013903083373330795
AAPL,2017-03-22,2017-03-23,2017-03-24,-1,0.4296138392686934,0.0016991623698086045,-0.0036991623698086045
AAPL,2017-04-12,2017-04-13,2017-04-17,-1,0.42499466325757224,-0.0030303648882598067,0.0010303648882598066
AAPL,2017-04-25,2017-04-26,2017-04-27,1,0.5592674872359684,-0.0038073660779744944,-0.0058073660779744945
AAPL,2017-05-02,2017-05-03,2017-05-04,-1,0.42822487247419627,0.006387912560037012,-0.008387912560037012
AAPL,2017-05-17,2017-05-18,2017-05-19,1,0.5513149461373225,0.013948605864082753,0.011948605864082753
AAPL,2017-05-31,2017-06-01,2017-06-02,1,0.5508480741170729,0.0026769603394865005,0.0006769603394865004
AAPL,2017-06-05,2017-06-06,2017-06-07,-1,0.4251060216565634,0.007277663355983011,-0.00927766335598301
AAPL,2017-06-07,2017-06-08,2017-06-09,1,0.5501195634190524,-0.00038641344266021616,-0.002386413442660216
AAPL,2017-06-13,2017-06-14,2017-06-15,1,0.6139147289374368,-0.028338975044625903,-0.030338975044625904
AAPL,2017-06-14,2017-06-15,2017-06-16,1,0.6233827923445233,0.00320937296064705,0.00120937296064705
AAPL,2017-06-15,2017-06-16,2017-06-19,1,0.6075443302776197,-0.000834595258399573,-0.002834595258399573
AAPL,2017-06-22,2017-06-23,2017-06-26,1,0.5521615177421173,0.014056130322201543,0.012056130322201543
AAPL,2017-07-10,2017-07-11,2017-07-12,1,0.5667343624115918,0.007876921291055439,0.005876921291055439
AAPL,2017-07-11,2017-07-12,2017-07-13,1,0.5509448392379669,-0.0025364596601138434,-0.004536459660113843
AAPL,2017-08-14,2017-08-15,2017-08-16,1,0.5816018148986744,0.007966538743443996,0.005966538743443996
AAPL,2017-09-06,2017-09-07,2017-09-08,-1,0.44291224330681944,-0.0075882964458728885,0.0055882964458728885
