date,strategy_return,strategy_equity,benchmark_return,benchmark_equity
2017-03-17,-0.001167982390246623,99883.20176097534,0.0,100000.0
2017-03-20,0.025152561050174327,102395.52009115515,-0.0010968480149197157,99890.31519850803
2017-03-21,0.0,102395.52009115515,-0.01283954204210358,98607.7692969178
2017-03-22,-0.0005912527244025968,102334.97846093464,0.0023533584536432617,98839.82872438761
2017-03-23,-0.02774344258589767,99495.85386147462,-0.0010673262731550892,98734.33437835592
2017-03-24,-0.00029321279009519776,99466.680404561,-0.0007262334026423289,98662.6302067427
2017-03-27,0.008900457551927254,100351.97937133291,-0.0010261703069011086,98561.38554522378
2017-03-28,0.0008266484607069782,100434.93518060911,0.007276805167566236,99278.59754488175
2017-03-29,0.0015157984502451888,100587.17429970636,0.0009347888048467645,99371.40206642759
2017-03-30,0.00026717880939353296,100614.04906117602,0.0031841797421705564,99687.81847183859
2017-03-31,-0.007110065044403145,99898.67662797029,-0.002327712891743272,99455.77385163194
2017-04-03,0.0,99898.67662797029,-0.0017392499294851538,99282.79540397359
2017-04-04,-0.02959529580420972,96942.14574271641,0.0006375087033845261,99346.08905013997
2017-04-05,0.0,96942.14574271641,-0.0029726732268329226,99050.76559103005
2017-04-06,0.0,96942.14574271641,0.0028111906165879663,99329.2161738254
2017-04-07,-0.008273064059753475,96140.13716089696,-0.0010194328786893303,99227.95670504337
2017-04-10,0.0,96140.13716089696,0.000595182757741286,99287.01547396011
2017-04-11,0.0,96140.13716089696,-0.0011897320198532846,99168.89053249508
2017-04-12,-0.00028268650772916674,96112.95964127035,-0.00438198059699757,98734.33437835591
2017-04-13,0.011263886931368374,97195.5651513088,-0.006494708694172346,98093.08363845549
2017-04-17,0.002555904280855727,97443.98771235923,0.008859926396222573,98962.18113947072
2017-04-18,-0.008081419601392968,96656.50196002267,-0.0029842800486102883,98666.85027672924
2017-04-19,0.004119083793170388,97054.63819075075,-0.0018384733700123057,98485.45389999248
2017-04-20,0.007856841939292964,97817.18114249074,0.008138882872810838,99287.01547396013
2017-04-21,0.021108140118323515,99881.91990802587,-0.0031865877866756875,98970.62868307532
2017-04-24,0.002044871575993647,100086.16560700147,0.010997431224724297,100059.05136528517
2017-04-25,-0.0058073660779744945,99504.92860398084,0.005819001764058029,100641.29516168973
2017-04-26,0.0,99504.92860398084,-0.0006286826413557378,100578.02372641802
2017-04-27,-0.0038302000524181295,99123.80482122602,0.0008387953794186664,100662.3881079908
2017-04-28,0.0,99123.80482122602,-0.0021794079632971863,100443.00369774373
2017-05-01,-0.004978821349292504,98630.28510555899,0.0025199899076573384,100696.11905335683
2017-05-02,-0.008387912560037012,97802.98289832205,0.00037710714776473253,100734.09227960401
2017-05-03,0.0,97802.98289832205,-0.0012144608151172243,100611.75467178403
2017-05-04,0.0,97802.98289832205,0.0011741405910468128,100729.88701688062
2017-05-05,0.0,97802.98289832205,0.003936798949246256,101126.44033024636
2017-05-08,-0.0022436687662792925,97583.54540034414,-0.00016677609365001178,101109.57485756336
2017-05-09,-0.002167096685491752,97372.07242254852,-0.0009178608621053241,101016.77033601748
2017-05-10,-0.0030864574583888676,97071.53766338115,0.0017959254391914925,101198.1889236489
2017-05-11,-0.0025415125494314666,96824.82913221706,-0.002042765809212921,100991.46472336141
2017-05-12,-0.0030875953052663645,96525.87324435521,-0.001671162859131048,100822.69153842647
2017-05-15,-0.005161271296750368,96027.67702538535,0.005523716579631133,101379.6075112803
2017-05-16,-0.006561088249176968,95397.63096205833,-0.0009159272682764952,101286.75116431357
2017-05-17,0.008311865815482157,96190.56326972984,-0.017743775256867655,99489.5418151557
2017-05-18,0.009519250011370996,97106.22529022899,0.004028296603243886,99890.31519850799
2017-05-19,0.0015885088178734259,97260.47938537295,0.006504339215553934,100540.03569290768
2017-05-22,0.011333194363626344,98362.75130214685,0.005077384270064655,101050.51608864659
2017-05-23,-0.0007191522469176519,98292.0135085349,0.0022129455261816755,101274.13537614331
2017-05-24,-0.006411969678757233,97661.76809825418,0.0023326298939958523,101510.37045181029
2017-05-25,-0.002296626633301822,97437.47548058438,0.004779485852449028,101995.53783126156
2017-05-26,-0.0091786330491882,96543.13264790883,-0.0002067300503323377,101974.45228859203
2017-05-30,-0.009315176057701324,95643.81637013155,-0.0008690556088137846,101885.83081887492
2017-05-31,-0.0010598511858045927,95542.4481579368,-0.00024822691427917043,101860.540013482
2017-06-01,-0.010733844985788554,94516.91032984677,0.007952283825789053,102670.56393831735
2017-06-02,-0.0054085704620248625,94005.7089604749,0.0033284790910030893,103012.30076364754
2017-06-05,-0.0016293988112431861,93852.53617004464,-0.0007372561522401844,102936.35431115312
2017-06-06,0.001950140925961021,94035.56184183508,-0.003196678245290019,102607.29990667719
2017-06-07,-0.002386413442660216,93811.15411296762,0.0018501268124437864,102797.136423387
2017-06-08,-0.005932986016537132,93254.57384742018,0.0004926288960986902,102847.77726322536
2017-06-09,0.0,93254.57384742018,-0.0015179032462296904,102691.66428825
2017-06-12,-0.010135106462319963,92309.4288133783,-0.00020547285973882,102670.56393831737
2017-06-13,-0.030338975044625904,89508.85535622554,0.004889816871634922,103172.60419408322
2017-06-14,0.00120937296064705,89617.10494563181,-0.0012676344892739166,103041.81904265861
2017-06-15,-0.002834595258399573,89363.07672488144,-0.0019242348254818742,102843.54238597573
2017-06-16,0.0,89363.07672488144,0.00021841544561485016,102866.00500411457
2017-06-19,0.001076954287037692,89459.31667346318,0.00832510855590618,103722.37566248623
2017-06-20,0.00348137568625362,89770.75816343905,-0.00674398854162217,103022.8731495086
2017-06-21,0.0,89770.75816343905,-0.0002470682918173095,102997.41946422143
2017-06-22,0.013870032335888386,91015.88148198319,-0.00045256730231446607,102950.80619994916
2017-06-23,-0.030686754332474142,88222.89948659198,0.0011941363697260954,103073.74350192516
2017-06-26,-0.014837031308636115,86913.93356477076,0.0006579489862557075,103141.56076697183
2017-06-27,0.0,86913.93356477076,-0.008056154769592205,102310.63639025582
2017-06-28,0.0,86913.93356477076,0.00895037115619246,103226.35455917486
2017-06-29,0.0,86913.93356477076,-0.008788850625041866,102319.11354838665
2017-06-30,0.0,86913.93356477076,0.0018645996327819603,102509.89772993555
2017-07-03,-0.0014940809734467191,86784.07711030422,0.0016955929317383767,102683.71278795965
2017-07-05,0.0,86784.07711030422,0.002312217331269073,102921.13984830702
2017-07-06,0.009062981998354537,87570.59963889873,-0.009144592214907266,101979.9679941008
2017-07-07,-0.0038179441545511655,87236.25997989686,0.006485112837173679,102641.3195936739
2017-07-10,0.006112455172008592,87769.48770839766,0.0010738157245082647,102751.53745663787
2017-07-11,0.0012620163411286224,87880.25423613815,-0.0007427298506786917,102675.22082256571
2017-07-12,0.0,87880.25423613815,0.007514877175332391,103446.81249599741
2017-07-13,0.0,87880.25423613815,0.0016801644265191928,103620.62015038998
2017-07-14,0.0,87880.25423613815,0.00466421709529885,104103.9292183209
2017-07-17,-0.00760930136979354,87211.5468972013,-0.0001221802011464046,104091.20977930888
2017-07-18,-0.01015622127376936,86325.8071292856,0.0005293936902359686,104146.31500897507
2017-07-19,-0.010024012446220419,85460.47616419163,0.005414119349341773,104710.1755882278
2017-07-20,-0.0030889697647311625,85196.4913372409,0.00044537672585254207,104756.81106339472
2017-07-21,-0.005672561308593503,84713.20901685335,-0.0008902155585311933,104663.55492032398
2017-07-24,-0.009316821179366828,83923.95119691301,-0.0002432660436396672,104638.09383140525
2017-07-25,0.005801693174184332,84410.85221172273,0.002430988215317953,104892.46780438273
2017-07-26,0.0,84410.85221172273,4.0373511447366894e-05,104896.70268163238
2017-07-27,0.0,84410.85221172273,-0.0009294708170937138,104799.20425768045
2017-07-28,0.0,84410.85221172273,-0.0011730747656605311,104676.26695570447
2017-07-31,0.0,84410.85221172273,-0.0005672453441499803,104616.88983063084
2017-08-01,-0.0038306395983873625,84087.50465870686,0.002228940086478337,104850.07461009703
2017-08-02,0.0,84087.50465870686,0.00048524291696794286,104900.95236614514
2017-08-03,0.0,84087.50465870686,-0.0019399597045660633,104697.44874558422
2017-08-04,0.0,84087.50465870686,0.0018221014606512043,104888.21811987001
2017-08-07,0.0,84087.50465870686,0.0018592331785456384,105083.229775037
2017-08-08,0.0,84087.50465870686,-0.0024607088710013603,104824.6505393361
2017-08-09,0.0,84087.50465870686,-4.061151763845583e-05,104820.39345119176
2017-08-10,0.0,84087.50465870686,-0.014115300427956834,103340.82210665154
2017-08-11,0.0,84087.50465870686,0.0014769174601232393,103493.44797116435
2017-08-14,0.000285001456220459,84111.46971998455,0.009913124508136972,104519.3914066789
2017-08-15,0.0005392004841884308,84156.82266518337,-0.00012183620765238157,104506.65716040377
